sample_id,noise_type,snr_in_target,SNR_in,SNR_out,SNR_imp,PRD,RMSE
941,MA,10,13.475907154960087,33.797953128460605,20.32204597350052,2.042219146702255,0.017130844289547725
942,MA+EM+BW,5,10.380188184258207,19.646236420145268,9.26604823588706,10.415693199141904,0.027485404559640256
943,MA,7,9.79499786973158,27.97256771230057,18.177569842568992,3.9936648361417997,0.03352927291396799
944,MA+EM+BW,10,15.437919648580202,30.066147053232623,14.62822740465242,3.1382869243799663,0.015435193234611073
945,BW+EM,10,18.544999353292575,30.3737995767681,11.828800223475525,3.029074961984195,0.02360542520678016
946,MA+EM+BW,5,10.288246754812182,21.84596061047769,11.557713855665508,8.085408551581155,0.021272995750073975
947,EM,7,11.921056172553602,25.481907991977636,13.560851819424034,5.319913861735738,0.04056220215494675
948,EM,0,8.449724923146482,20.675789564736004,12.226064641589522,9.251465247418977,0.030669889774276378
949,MA,7,11.289901339968926,24.52602577596119,13.236124435992265,5.938800155113083,0.012734736270311872
950,MA+EM,7,13.069846524972688,25.940936464895582,12.871089939922895,5.046068906882975,0.016566829364673862
951,MA,7,14.137136685577289,24.123819420610857,9.986682735033568,6.220267030568522,0.02311071804306932
952,MA+EM,10,13.61118902278565,29.98314291065279,16.371953887867143,3.168420791176004,0.02499042136622294
953,BW+MA,7,15.403444068250693,31.68157426674041,16.278130198489716,2.605681242699926,0.015256326270580432
954,MA,0,7.597598062323611,19.474436958338906,11.876838896015295,10.623757579211375,0.026867149065933817
955,MA,0,6.317467266076674,17.154121170572616,10.836653904495941,13.876947379355526,0.03701178339558968
956,EM,7,13.560480186555582,20.5459301363946,6.985449949839017,9.390819501809236,0.02669129313804932
957,MA,10,15.692761366913565,27.187106390161023,11.494345023247458,4.371642913525035,0.01742097513330304
958,MA+EM,10,16.413799199495593,27.83188007213315,11.418080872637557,4.058877987996486,0.013951550094529126
959,BW,7,12.872794289776328,25.02256043366274,12.149766143886412,5.608826142244432,0.013754290511434347
960,MA,0,6.8404516985974855,18.959107503408667,12.118655804811182,11.27313284446027,0.027410384870401136
961,MA+EM,7,14.031279107587999,26.213078777549615,12.181799669961617,4.890418899097333,0.012946576788512468
962,EM,0,8.233626916895723,24.089732118927273,15.85610520203155,6.2447260931093656,0.022396856729153498
963,EM,0,6.79554411826922,18.969362126877844,12.173818008608624,11.25983155648832,0.08918712428806407
964,BW+MA,7,15.223843409702283,26.61284824179932,11.389004832097037,4.670437749531036,0.012526524425894341
965,EM,0,8.766194588173454,21.409523342491767,12.643328754318313,8.50205348816331,0.03079502037374848
966,BW+EM,7,13.169729346681274,19.126663327263337,5.956933980582063,11.057751698369369,0.05090753228895766
967,MA,0,7.486856503615193,24.254382878334972,16.76752637471978,6.127465237545721,0.04787918365622812
968,BW,7,12.323088899522626,30.24906845493769,17.92597955541506,3.072886908843425,0.016030993352683844
969,BW+MA,7,16.32599503659908,24.898575952615705,8.572580916016626,5.689462016509991,0.022005447229859098
970,MA+EM+BW,0,9.793209470165284,24.958305348106215,15.165095877940932,5.650472070341839,0.04337962444816185
971,BW+EM,10,14.894420183627108,26.77409326076136,11.879673077134253,4.584535467879386,0.014759448183316594
972,MA+EM+BW,10,15.265919141338635,20.247687376809516,4.981768235470881,9.718866825289494,0.04207933952115704
973,MA+EM+BW,5,11.222022909169889,21.856148939460986,10.634126030291098,8.075930131793491,0.024200756486486088
974,EM,10,12.664328211793784,30.94720979057903,18.282881578785247,2.8355643689590653,0.02048854769179041
975,MA,0,9.185387422984844,24.091490818419654,14.90610339543481,6.24346180294718,0.02395672651699793
976,MA,0,7.511980104651953,20.282065391286814,12.77008528663486,9.680476397862662,0.02712319043147514
977,MA,0,9.5456124151112,22.45188857783458,12.90627616272338,7.540594224604788,0.03743039658938201
978,EM,0,5.943652899209048,19.42020046625749,13.476547567048442,10.690302062223601,0.0822614864098092
979,EM,7,12.590715274147833,22.912413076309196,10.321697802161363,7.151206947358528,0.020754352094432185
980,EM,7,10.689055480805763,26.601314292336596,15.912258811530833,4.676643720015606,0.030610612971596902
981,EM,7,10.270243174037933,24.711511152159513,14.44126797812158,5.8133228458536506,0.0412218264941229
982,MA,7,14.246475840745275,23.255313124714426,9.008837283969152,6.874392797539559,0.03375898794282891
983,MA,7,13.024176974627114,22.04336945192224,9.019192477295125,7.90371965463431,0.016650511757926378
984,MA,5,13.610915836495137,24.41252750014681,10.801611663651672,6.016911517913498,0.015242539002080148
985,BW,10,15.44059637826345,26.89321800865551,11.45262163039206,4.522088938050545,0.009725220802300151
986,EM,5,10.74992153500732,27.109398977662252,16.35947744265493,4.4109288359950645,0.029781421443548256
987,BW,0,9.335348258210862,21.584091386784223,12.248743128573361,8.33288581315417,0.032956058757616646
988,MA,0,9.126612603896739,23.129207918362894,14.002595314466156,6.974925995653401,0.02914925459107347
989,EM,5,12.509223054257614,28.08954137647064,15.580318322213024,3.9402423196309733,0.015315695313115524
990,BW+EM,0,6.490460550787062,25.380896684933845,18.890436134146782,5.382142172821264,0.01812477116158257
991,EM,0,8.954821409856642,17.218318550716646,8.263497140860004,13.774761004224906,0.026340027708307366
992,MA+EM,0,8.533169608935076,19.048820270088996,10.51565066115392,11.157296810557057,0.046942346806955304
993,MA,5,12.118141947637914,28.47515333181328,16.357011384175365,3.7691405583377184,0.009610836567374978
